fecha,aforo,temp_max,temp_min,clima,vuelos,cruceros,dia_semana,mes,semana,festivo_valencia,festivo_nacional,festivo_andalucia,festivo_madrid,festivo_cataluna,aforo_t-1,aforo_t-7,aforo_mean_7
2020-01-08,2398,11.6,1.1,2,33,1,2,1,2,0,0,0,0,0,2853.0,8524.0,4505.1
2020-01-09,2257,10.8,6.4,1,42,1,3,1,2,0,0,0,0,0,2398.0,2930.0,3630.0
2020-01-10,3025,9.4,3.5,1,58,3,4,1,2,0,0,0,0,0,2257.0,2834.0,3533.9
2020-01-11,4064,8.5,5.6,0,95,1,5,1,2,0,0,0,0,0,3025.0,3249.0,3561.1
2020-01-12,3661,8.1,8.1,3,86,1,6,1,2,0,0,0,0,0,4064.0,2722.0,3677.6
2020-01-13,3226,13.2,3.7,2,65,2,0,1,3,0,0,0,0,0,3661.0,8424.0,3811.7
2020-01-14,2836,12.3,4.2,0,50,2,1,1,3,0,0,0,0,0,3226.0,2853.0,3069.1
2020-01-15,2905,11.0,5.6,0,67,2,2,1,3,0,0,0,0,0,2836.0,2398.0,3066.7
2020-01-16,3342,11.3,2.4,0,70,3,3,1,3,0,0,0,0,0,2905.0,2257.0,3139.1
2020-01-17,2160,12.4,3.5,0,32,2,4,1,3,0,0,0,0,0,3342.0,3025.0,3294.1
2020-01-18,3125,11.7,5.0,0,82,1,5,1,3,0,0,0,0,0,2160.0,4064.0,3170.6
2020-01-19,3359,9.3,4.4,0,80,1,6,1,3,0,0,0,0,0,3125.0,3661.0,3036.4
2020-01-20,2514,13.8,6.2,0,45,2,0,1,4,0,0,0,0,0,3359.0,3226.0,2993.3
2020-01-21,2570,12.6,10.5,1,54,2,1,1,4,0,0,0,0,0,2514.0,2836.0,2891.6
2020-01-22,2728,12.5,5.2,0,50,2,2,1,4,0,0,0,0,0,2570.0,2905.0,2853.6
2020-01-23,2906,13.7,3.3,0,42,2,3,1,4,0,0,0,0,0,2728.0,3342.0,2828.3
2020-01-24,2934,10.4,7.8,0,49,1,4,1,4,0,0,0,0,0,2906.0,2160.0,2766.0
2020-01-25,3746,14.4,1.8,0,92,2,5,1,4,0,0,0,0,0,2934.0,3125.0,2876.6
2020-01-26,3252,11.7,2.2,1,81,3,6,1,4,0,0,0,0,0,3746.0,3359.0,2965.3
2020-01-27,3150,13.8,3.8,0,56,2,0,1,5,0,0,0,0,0,3252.0,2514.0,2950.0
2020-01-28,2314,13.5,4.4,0,47,1,1,1,5,0,0,0,0,0,3150.0,2570.0,3040.9
2020-01-29,2571,9.9,3.8,0,54,3,2,1,5,0,0,0,0,0,2314.0,2728.0,3004.3
2020-01-30,2328,13.0,4.9,0,37,1,3,1,5,0,0,0,0,0,2571.0,2906.0,2981.9
2020-01-31,2343,12.7,5.5,1,45,2,4,1,5,0,0,0,0,0,2328.0,2934.0,2899.3
2020-02-01,3564,14.1,8.1,0,78,2,5,2,5,0,0,0,0,0,2343.0,3746.0,2814.9
2020-02-02,3378,13.8,6.2,0,67,2,6,2,5,0,0,0,0,0,3564.0,3252.0,2788.9
2020-02-03,2344,13.8,4.9,2,41,2,0,2,6,0,0,0,0,0,3378.0,3150.0,2806.9
2020-02-04,2858,15.6,8.0,3,53,1,1,2,6,0,0,0,0,0,2344.0,2314.0,2691.7
2020-02-05,2583,15.2,4.4,2,51,3,2,2,6,0,0,0,0,0,2858.0,2571.0,2769.4
2020-02-06,2496,14.1,2.7,0,58,2,3,2,6,0,0,0,0,0,2583.0,2328.0,2771.1
2020-02-07,2380,11.0,8.4,0,43,2,4,2,6,0,0,0,0,0,2496.0,2343.0,2795.1
2020-02-08,3731,15.0,8.3,1,80,1,5,2,6,0,0,0,0,0,2380.0,3564.0,2800.4
2020-02-09,3486,15.4,4.4,0,73,1,6,2,6,0,0,0,0,0,3731.0,3378.0,2824.3
